"","Finished","Progress","Consent_statement","Work_from_home_Freq_19","Work_from_home_Freq_20","Weekly_Working_hrs_19","Weekly_Working_hrs_20","Traditional work hours_19  (9-5, Mon - Fri)","Early mornings_19  (5am - 9am)","Early evenings_19  (5pm - 9pm)","Late evenings_19  (5pm - midnight)","Overnight_19 (midnight - 5am)","Traditional work hours_20  (9-5, Mon - Fri)","Early mornings_20  (5am - 9am)","Early evenings_20  (5pm - 9pm)","Late evenings_20 (5pm - midnight)","Overnight_20 (midnight - 5am)","Work_schedule_stability_19","Work_schedule_stability_20","Comfortable_lifestyle_19","Lonely_lifestyle_19","Active_lifestyle_19","Connected_lifestyle_19","Peaceful_lifestyle_19","Chaotic_lifestyle_19","Comfortable_lifestyle_20","Lonely_lifestyle_20","Active_lifestyle_20","Connected_lifestyle_20","Peaceful_lifestyle_20","Chaotic_lifestyle_20","Mental_health_19","Mental_health_20","Expected_Income_2021","Income_2020","Income_2019","Age_Group","Adult_count","Children_count","Postcode_range","Year_of_record","Month_of_record"
"188","Yes",100,"Agreed","Always","Always","40+ hours ","20-30 hours",1,0,0,0,0,0,0,0,1,0,"No changes","No changes",0,0,0,0,0,0,1,0,0,0,0,1,"Some challenges","Good",220762.365412157,220391.901322807,208067.46062107,"(45,55]","2","0","(3000,3050]",2021,"January"
"189","Yes",100,"Agreed","Never","Always","20-30 hours  ","40+ hours",0,0,0,0,0,0,0,0,0,0,"Unpredictable","No changes",0,1,1,0,0,0,0,0,0,1,0,0,"Good","Some challenges",134136.60156937,141802.428571382,123628.561110026,"(24,45]","3","2","(3050,3150]",2021,"January"
"190","Yes",100,"Agreed","Most of the time","Didn't work","40+ hours ","Didn't work",0,0,1,0,0,NA,NA,NA,NA,NA,"No changes",NA,1,0,1,0,0,1,1,0,1,1,0,1,"Significant challenges","Significant challenges",94969.9044291382,1959.26134568866,76543.550453498,"(45,55]","1","0","(3150,3250]",2021,"January"
"191","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",0,0,0,0,0,NA,NA,NA,NA,NA,"No changes",NA,1,0,0,0,0,0,0,0,0,0,0,0,"Some challenges","Some challenges",138961.835801355,-3991.97749610302,115804.817411131,"(24,45]","3","0","(3150,3250]",2021,"January"
"192","Yes",100,"Agreed","Most of the time","Always","40+ hours ","40+ hours",0,0,0,0,1,0,0,0,0,0,"No changes","Some small changes",0,0,1,0,0,0,1,0,0,0,0,1,"Good","Some challenges",156092.804570084,161940.963435446,139705.472126559,"(55,80]","1","More than 2","(3150,3250]",2021,"January"
"193","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",1,0,1,0,1,NA,NA,NA,NA,NA,"Unpredictable",NA,1,0,0,0,0,0,0,0,0,0,0,1,"Some challenges","Significant challenges",98822.629011185,1475.64543029531,80039.1456967359,"(45,55]","1","0","(3050,3150]",2021,"January"
"194","Yes",100,"Agreed","Never","Always","20-30 hours  ","less than 10 hours",0,0,0,0,0,0,0,0,0,0,"No changes","Varying",0,1,0,0,0,1,1,0,0,0,0,1,"Some challenges","Some challenges",216282.033528381,212888.114332376,197428.46858201,"(24,45]","More than 3","1","(3050,3150]",2021,"January"
"195","Yes",100,"Agreed","Always","Always","40+ hours ","40+ hours",1,0,0,0,0,1,0,0,0,0,"No changes","Unpredictable",1,0,1,0,0,0,1,1,0,1,1,0,"Some challenges","Significant challenges",181720.014338195,185235.742031332,167249.641178321,"(55,80]","2","0","(3150,3250]",2021,"January"
"196","Yes",100,"Agreed","Always","Always","10-20 hours  ","Didn't work",1,0,1,0,0,1,0,0,1,1,"No changes","Varying",1,0,1,0,0,0,1,0,0,1,0,0,"Good","Some challenges",82150.4140287111,75164.1831947807,68108.7773845624,"(24,45]","2","0","(3150,3250]",2021,"January"
"197","Yes",100,"Agreed","Never","Never","less than 10 hours  ","30-40 hours",1,0,0,1,0,0,0,0,0,0,"Unpredictable","Varying",0,0,1,0,0,0,1,0,0,0,0,0,"Some challenges","Some challenges",96343.2501503357,100980.218456525,77155.2236290397,"(45,55]","1","0","(3150,3250]",2021,"January"
"198","Yes",100,"Agreed","Most of the time","Never","10-20 hours  ","Didn't work",1,0,1,1,0,1,0,0,1,1,"No changes","Unpredictable",0,0,1,1,0,0,0,0,0,0,0,1,"Good","Some challenges",86875.6912960609,76066.5432640079,63034.2360164016,"(55,80]","2","More than 2","(3050,3150]",2021,"January"
"199","Yes",100,"Agreed","Sometimes","Never","40+ hours ","40+ hours",0,0,0,1,1,0,0,0,1,0,"No changes","No changes",0,0,1,0,0,0,0,0,0,1,0,1,"Significant challenges","Significant challenges",64743.1662907741,70582.730901828,50968.0856909777,"(45,55]","2","More than 2","(3050,3150]",2021,"January"
"200","Yes",100,"Agreed","Never","Always","30-40 hours  ","less than 10 hours",1,0,1,1,0,1,0,1,0,0,"Some small changes","Some small changes",0,0,1,0,0,0,1,0,1,1,0,0,"Good","Some challenges",56403.2765419583,71230.7910180607,42194.1373279248,"(45,55]","3","1","(3050,3150]",2021,"January"
"201","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",0,1,0,0,0,NA,NA,NA,NA,NA,"Some small changes",NA,0,0,0,0,1,0,0,0,0,1,0,1,"Good","Good",108559.256980176,3086.64630465806,95144.2966625764,"(24,45]","More than 3","1","(3150,3250]",2021,"January"
"202","Yes",100,"Agreed","Never","Didn't work","20-30 hours  ","Didn't work",1,0,0,0,1,NA,NA,NA,NA,NA,"No changes",NA,0,0,1,0,0,0,1,0,0,1,0,0,"Some challenges","Some challenges",83538.0030670866,-1489.30927078223,74981.9449431669,"(24,45]","3","1","(3000,3050]",2021,"January"
"203","Yes",100,"Agreed","Never","Always","20-30 hours  ","Didn't work",1,0,0,0,0,1,0,0,1,0,"No changes","Varying",0,0,1,1,1,0,1,0,0,0,1,1,"Some challenges","Significant challenges",193470.971643923,204080.125201499,175257.738279073,"(24,45]","1","0","(3150,3250]",2021,"January"
"204","No",44,"Agreed","Never","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100680.396876762,119128.184175197,93887.3112101356,"(45,55]","1","1","(3050,3150]",NA,NA
"205","Yes",100,"Agreed","Never","Always","20-30 hours  ","40+ hours",1,0,1,0,0,1,0,0,0,0,"No changes","Unpredictable",0,1,0,0,0,0,0,0,0,0,1,1,"Good","Significant challenges",106368.441743049,90653.9509413652,78270.0298768932,"(45,55]","1","1","(3050,3150]",2021,"January"
"206","Yes",100,"Agreed","Never","About half the time","40+ hours ","Didn't work",1,0,0,0,0,1,1,0,1,0,"No changes","No changes",0,0,0,1,0,1,1,1,0,0,0,0,"Significant challenges","Good",166336.438544003,177945.011579773,149920.677627243,"(45,55]","2","0","(3150,3250]",2021,"January"
"207","Yes",100,"Agreed","Always","Always","40+ hours ","Didn't work",1,0,0,0,0,0,0,1,0,0,"No changes","Varying",1,1,1,1,0,1,0,0,0,0,0,0,"Good","Significant challenges",798.29019446661,82190.4884961663,73257.498130514,"(45,55]","More than 3","0","(3050,3150]",2021,"January"
"208","No",5.5,"Agreed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(24,45]",NA,NA,NA,NA,NA
"209","Yes",100,"Agreed","Never","About half the time","10-20 hours  ","less than 10 hours",0,0,0,0,0,1,0,0,0,0,"No changes","Some small changes",0,0,0,0,0,1,1,0,0,1,0,0,"Some challenges","Significant challenges",77110.6316519438,81619.8674524558,64826.1911738186,"(24,45]","3","0","(3050,3150]",2021,"January"
"210","Yes",100,"Agreed","Never","Always","40+ hours ","less than 10 hours",1,0,0,0,0,1,0,0,0,0,"Some small changes","No changes",0,0,0,0,0,0,0,0,0,1,0,0,"Some challenges","Good",71503.1423252568,67458.1296203559,50225.1430438647,"(45,55]","1","2","(3150,3250]",2021,"January"
"211","Yes",100,"Agreed","Sometimes","Didn't work","Didn't work","Didn't work",0,0,0,1,0,0,0,0,1,0,"Unpredictable","Varying",1,0,0,0,0,0,0,0,0,1,0,0,"Significant challenges","Some challenges",94538.5856511839,96481.0238554917,77415.2168517442,"(24,45]","1","1","(3050,3150]",2021,"January"
"212","Yes",100,"Agreed","Never","Always","40+ hours ","10-20 hours",1,0,0,0,0,1,0,0,0,0,"No changes","Some small changes",1,1,0,0,1,0,1,0,0,1,0,0,"Significant challenges","Good",125760.403066547,124233.341631065,111949.141046952,"(45,55]","3","0","(3000,3050]",2021,"January"
"213","Yes",100,"Agreed","Sometimes","Never","40+ hours ","20-30 hours",1,0,0,0,0,0,0,0,1,0,"No changes","Unpredictable",0,0,1,0,0,0,1,1,0,0,0,0,"Significant challenges","Some challenges",98168.8250345858,97353.986738403,83552.2770288362,"(24,45]","2","1","(3050,3150]",2021,"January"
"214","Yes",100,"Agreed","Never","Sometimes","40+ hours ","20-30 hours",1,0,0,0,0,0,0,1,1,1,"No changes","Unpredictable",0,0,1,0,1,0,1,0,0,1,1,1,"Some challenges","Significant challenges",140318.654759733,149946.420525959,128988.983330585,"(45,55]","1","More than 2","(3000,3050]",2021,"January"
"215","Yes",100,"Agreed","Sometimes","Always","40+ hours ","40+ hours",1,0,0,0,0,1,0,1,0,0,"Unpredictable","Unpredictable",0,0,1,0,0,0,1,0,0,0,0,1,"Good","Good",116615.618033824,103863.621676058,79434.1152229895,"(24,45]","1","1","(3050,3150]",2021,"January"
"216","Yes",100,"Agreed","Never","About half the time","10-20 hours  ","Didn't work",1,0,0,0,0,1,0,1,1,0,"No changes","Varying",0,0,1,0,0,0,1,0,1,1,0,0,"Some challenges","Good",-1595.19232718963,148598.92403758,142239.057864319,"(55,80]","1","2","(3150,3250]",2021,"January"
"217","Yes",100,"Agreed","Didn't work","Sometimes","20-30 hours  ","30-40 hours",1,0,1,0,0,1,1,1,0,0,"No changes","Some small changes",1,0,1,0,0,0,1,0,0,0,0,0,"Some challenges","Some challenges",81391.9610594528,97971.8810064902,68729.3661153826,"(45,55]","More than 3","0","(3000,3050]",2021,"January"
"218","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",0,0,1,0,0,NA,NA,NA,NA,NA,"No changes",NA,0,1,0,0,0,0,1,0,0,1,0,1,"Good","Some challenges",272639.428081428,-1264.98371948055,255929.780668765,"(45,55]","3","1","(3150,3250]",2021,"January"
"219","Yes",100,"Agreed","Never","Never","Didn't work","Didn't work",1,0,1,1,0,0,0,1,0,0,"No changes","Some small changes",0,0,1,1,1,0,1,1,0,0,1,0,"Significant challenges","Significant challenges",280522.843585494,267872.217385918,259390.571188511,"(45,55]","1","0","(3050,3150]",2021,"January"
"220","Yes",100,"Agreed","Never","Always","40+ hours ","Didn't work",1,0,0,1,0,1,0,0,0,0,"No changes","Unpredictable",0,0,0,0,0,0,0,0,0,0,0,0,"Some challenges","Good",1665.00284895575,128723.523366364,112197.00686761,"(55,80]","1","2","(3050,3150]",2021,"January"
"221","Yes",100,"Agreed","About half the time","Didn't work","less than 10 hours  ","Didn't work",1,0,0,0,1,NA,NA,NA,NA,NA,"No changes",NA,1,0,1,0,0,0,0,0,0,0,0,0,"Good","Some challenges",136224.196664349,-3664.3292553929,117533.223759535,"(24,45]","3","1","(3050,3150]",2021,"January"
"222","Yes",100,"Agreed","Sometimes","Didn't work","40+ hours ","Didn't work",1,0,0,1,0,NA,NA,NA,NA,NA,"Varying",NA,0,0,1,1,0,0,1,0,1,1,1,1,"Good","Significant challenges",86282.1143037651,2021.72955830179,65233.3018021468,"(45,55]","2","2","(3050,3150]",2021,"January"
"223","Yes",100,"Agreed","Never","Always","30-40 hours  ","less than 10 hours",0,0,0,0,0,0,0,0,1,0,"Some small changes","Varying",0,0,0,0,1,1,1,0,0,0,1,0,"Significant challenges","Significant challenges",227438.085096026,250456.622316604,216738.985734482,"(24,45]","2","1","(3000,3050]",2021,"January"
"224","Yes",100,"Agreed","Always","Didn't work","40+ hours ","40+ hours",1,0,0,0,0,1,0,0,1,0,"No changes","Unpredictable",1,0,1,0,1,0,1,0,0,0,0,0,"Good","Some challenges",215994.244140915,220192.354182463,203281.068593988,"(45,55]","1","1","(3000,3050]",2021,"January"
"225","Yes",100,"Agreed","Never","Always","40+ hours ","40+ hours",1,0,0,0,0,0,0,0,1,0,"No changes","Some small changes",1,0,1,1,0,1,0,0,0,1,0,0,"Good","Some challenges",128952.952776099,124507.48734564,112383.784549924,"(24,45]","3","0","(3150,3250]",2021,"January"
"226","Yes",100,"Agreed","Always","Always","less than 10 hours  ","Didn't work",1,0,0,1,0,1,0,0,1,0,"Some small changes","Unpredictable",0,0,1,1,0,0,0,0,0,1,0,0,"Some challenges","Good",-4916.43072541179,139717.577649649,126098.340757199,"(45,55]","3","1","(3050,3150]",2021,"January"
"227","Yes",100,"Agreed","About half the time","Didn't work","less than 10 hours  ","Didn't work",1,0,0,0,0,NA,NA,NA,NA,NA,"No changes",NA,0,0,1,0,0,0,1,1,0,0,0,0,"Some challenges","Some challenges",159860.138700332,-4075.88648895412,145287.372688862,"(45,55]","2","0","(3000,3050]",2021,"January"
"228","Yes",100,"Agreed","Always","Always","20-30 hours  ","Didn't work",1,0,0,0,0,0,0,0,0,0,"Some small changes","No changes",0,0,0,1,1,0,1,0,1,0,0,0,"Good","Good",150138.539957097,143009.751328756,130331.690327146,"(45,55]","1","0","(3050,3150]",2021,"January"
"229","Yes",100,"Agreed","Never","Always","40+ hours ","30-40 hours",0,0,0,0,0,0,0,1,0,0,"Some small changes","Unpredictable",0,0,1,1,0,0,0,1,0,1,1,0,"Good","Some challenges",92331.8959108123,88769.9512135729,68038.6946646492,"(24,45]","2","1","(3150,3250]",2021,"January"
"230","Yes",100,"Agreed","Never","Always","20-30 hours  ","Didn't work",1,1,0,0,0,1,0,0,0,0,"No changes","No changes",1,0,0,0,0,0,1,0,0,1,0,0,"Good","Good",189311.91228481,172056.493618008,157735.921613822,"(24,45]","2","1","(3050,3150]",2021,"January"
"231","Yes",100,"Agreed","Most of the time","Always","20-30 hours  ","less than 10 hours",1,0,0,0,0,0,0,0,1,1,"Varying","Unpredictable",1,0,0,0,0,0,0,0,0,0,1,0,"Some challenges","Significant challenges",66765.4109617341,54608.9277986213,49030.5240974552,"(55,80]","2","1","(3000,3050]",2021,"January"
"232","Yes",100,"Agreed","Didn't work","Always","40+ hours ","Didn't work",1,0,0,1,0,1,0,0,0,0,"No changes","Some small changes",1,0,0,0,0,0,0,0,0,1,0,0,"Good","Some challenges",150882.172316141,156376.784559644,131334.792422552,"(24,45]","2","2","(3050,3150]",2021,"January"
"233","Yes",100,"Agreed","Never","Didn't work","20-30 hours  ","Didn't work",1,0,0,1,0,NA,NA,NA,NA,NA,"Some small changes",NA,0,0,1,0,0,1,1,1,0,0,1,0,"Significant challenges","Significant challenges",82418.8243893662,747.54160597417,59352.5638754539,"(45,55]","More than 3","More than 2","(3050,3150]",2021,"January"
"234","Yes",100,"Agreed","Never","Sometimes","40+ hours ","40+ hours",1,0,1,0,0,0,1,0,1,0,"Varying","Some small changes",0,0,1,0,0,0,1,1,0,1,0,0,"Good","Some challenges",134859.820830189,126682.062703753,113378.724817984,"(24,45]","3","1","(3000,3050]",2021,"January"
"235","Yes",100,"Agreed","Never","Always","40+ hours ","20-30 hours",1,0,0,0,1,1,0,0,0,0,"Some small changes","No changes",1,0,1,0,1,1,0,0,0,0,0,0,"Good","Significant challenges",125740.316005075,132621.850197281,107390.413610654,"(55,80]","2","1","(3050,3150]",2021,"January"
"236","Yes",100,"Agreed","Most of the time","Never","40+ hours ","Didn't work",1,0,0,1,0,1,0,0,1,0,"No changes","Varying",1,0,0,0,0,0,1,0,0,1,0,1,"Some challenges","Good",63253.6320211836,69781.0229673491,51234.0959389405,"(24,45]","1","0","(3050,3150]",2021,"January"
"237","Yes",100,"Agreed","Never","Most of the time","30-40 hours  ","40+ hours",0,0,0,0,0,1,0,0,1,0,"No changes","No changes",1,0,1,0,0,0,1,0,1,1,0,0,"Good","Some challenges",128072.312844217,122075.364225923,106023.283346756,"(45,55]","2","1","(3000,3050]",2021,"January"
"238","Yes",100,"Agreed","About half the time","About half the time","40+ hours ","30-40 hours",1,0,0,0,0,1,0,0,1,0,"No changes","Unpredictable",1,0,1,0,0,0,0,0,0,0,0,0,"Good","Some challenges",73534.6661570934,76787.2263153203,70354.2446438202,"(55,80]","2","2","(3000,3050]",2021,"January"
"239","Yes",100,"Agreed","Never","Didn't work","30-40 hours  ","10-20 hours",1,0,0,1,0,1,0,0,1,0,"No changes","Some small changes",0,0,0,0,0,0,1,0,0,1,0,0,"Good","Significant challenges",171806.734014904,167580.562347532,150005.800198223,"(45,55]","1","More than 2","(3050,3150]",2021,"January"
"240","Yes",100,"Agreed","Never","Always","40+ hours ","40+ hours",1,0,0,0,0,0,0,0,0,1,"No changes","Unpredictable",1,0,1,0,0,1,0,0,0,1,0,0,"Good","Significant challenges",55788.8118099205,53614.1732404364,44967.8599656456,"(45,55]","2","2","(3050,3150]",2021,"January"
"241","Yes",100,"Agreed","Most of the time","Most of the time","40+ hours ","30-40 hours",0,0,0,0,0,1,0,1,1,1,"No changes","Varying",0,0,0,0,1,0,0,0,0,1,0,0,"Good","Good",106617.841455244,105514.013478876,96121.4804631582,"(55,80]","1","0","(3050,3150]",2021,"January"
"242","Yes",100,"Agreed","About half the time","Most of the time","40+ hours ","10-20 hours",1,1,1,0,0,0,0,1,1,1,"Varying","Unpredictable",1,0,1,0,0,0,0,0,0,1,1,0,"Significant challenges","Significant challenges",141228.038610036,131434.981579423,115120.134475671,"(55,80]","1","1","(3050,3150]",2021,"January"
"243","Yes",100,"Agreed","Never","Always","20-30 hours  ","Didn't work",0,0,0,0,0,1,0,0,1,0,"No changes","Varying",0,0,1,0,0,0,1,0,0,0,0,1,"Good","Some challenges",86832.3095040314,102782.688501635,76587.5028388165,"(55,80]","3","0","(3150,3250]",2021,"January"
"244","Yes",100,"Agreed","Always","Didn't work","20-30 hours  ","Didn't work",1,0,0,0,0,NA,NA,NA,NA,NA,"No changes",NA,1,0,1,0,0,1,0,0,0,1,0,1,"Some challenges","Significant challenges",159554.621703658,-2115.10326920775,127433.826197504,"(24,45]","2","2","(3000,3050]",2021,"January"
"245","Yes",100,"Agreed","Never","Always","40+ hours ","Didn't work",1,0,0,0,0,0,0,0,1,0,"No changes","Varying",0,0,0,0,1,0,1,0,0,1,0,0,"Good","Good",93407.8516715602,96521.630319796,79314.6344764771,"(55,80]","1","0","(3050,3150]",2021,"January"
"246","Yes",100,"Agreed","Never","Never","less than 10 hours  ","40+ hours",1,0,1,0,1,1,1,0,0,0,"Varying","Unpredictable",1,0,0,0,0,0,0,0,1,1,0,0,"Significant challenges","Some challenges",248898.952312442,241704.581043972,229574.534074173,"(55,80]","2","1","(3150,3250]",2021,"January"
"247","Yes",100,"Agreed","Never","Always","10-20 hours  ","20-30 hours",1,0,1,0,0,0,0,0,1,1,"No changes","Unpredictable",0,0,1,0,0,1,1,0,0,0,0,1,"Some challenges","Good",138834.840980475,145134.963027174,132117.405914552,"(24,45]","3","1","(3050,3150]",2021,"January"
"248","Yes",100,"Agreed","Sometimes","About half the time","40+ hours ","Didn't work",1,0,0,1,0,0,0,1,1,0,"No changes","Some small changes",0,0,1,0,0,1,0,0,0,0,0,1,"Significant challenges","Some challenges",91568.5540434386,91072.298653711,78134.3112092506,"(45,55]","3","1","(3000,3050]",2021,"January"
"249","Yes",100,"Agreed","Didn't work","Sometimes","40+ hours ","Didn't work",1,0,1,1,1,1,0,1,0,0,"No changes","Varying",1,0,1,1,0,1,0,0,0,0,1,1,"Good","Good",141706.92591538,139210.959893765,120495.825412386,"(55,80]","1","0","(3000,3050]",2021,"January"
"250","Yes",100,"Agreed","Always","Didn't work","40+ hours ","Didn't work",1,0,1,0,1,NA,NA,NA,NA,NA,"No changes",NA,0,0,1,1,0,1,1,0,1,1,0,1,"Good","Some challenges",116440.885183822,2570.02559211139,96468.9848973895,"(45,55]","1","1","(3050,3150]",2021,"January"
"251","Yes",100,"Agreed","Never","Didn't work","10-20 hours  ","Didn't work",0,0,0,0,0,NA,NA,NA,NA,NA,"Unpredictable",NA,0,0,0,0,0,1,0,0,0,1,0,0,"Good","Good",179076.524227484,-38.6242980448177,164150.169161202,"(45,55]","3","0","(3050,3150]",2021,"January"
"252","Yes",100,"Agreed","Never","Never","less than 10 hours  ","40+ hours",1,0,0,0,0,0,0,0,1,0,"No changes","Varying",0,0,0,0,0,0,1,0,0,0,0,0,"Good","Some challenges",89831.2465347958,95164.0384149966,75022.9490252849,"(24,45]","1","0","(3150,3250]",2021,"January"
"253","Yes",100,"Agreed","Sometimes","Didn't work","Didn't work","Didn't work",1,0,0,0,0,NA,NA,NA,NA,NA,"Varying",NA,0,0,1,1,0,0,1,0,0,1,0,0,"Significant challenges","Some challenges",-84.8545769939085,-3785.26819919937,204205.357578681,"(24,45]","2","0","(3050,3150]",2021,"January"
"254","Yes",100,"Agreed","Never","Always","40+ hours ","Didn't work",0,0,0,0,0,0,0,0,1,0,"No changes","Varying",1,0,1,1,0,1,0,0,0,1,1,0,"Good","Good",526.571992869087,135276.774273297,116448.676927408,"(45,55]","2","1","(3150,3250]",2021,"January"
"255","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",1,0,0,0,0,NA,NA,NA,NA,NA,"Some small changes",NA,0,0,1,0,0,0,0,0,0,1,0,0,"Significant challenges","Significant challenges",75816.2668992345,-4745.83889202107,52214.3530963783,"(24,45]","1","0","(3000,3050]",2021,"January"
"256","Yes",100,"Agreed","Most of the time","Never","40+ hours ","Didn't work",1,0,0,0,0,1,0,0,1,0,"Unpredictable","Varying",0,0,1,0,0,1,0,0,0,1,0,0,"Good","Good",141947.344590022,133404.563891295,122619.094889271,"(24,45]","3","0","(3050,3150]",2021,"January"
"257","Yes",100,"Agreed","Most of the time","Always","20-30 hours  ","less than 10 hours",1,0,0,0,0,0,0,0,1,0,"Varying","Some small changes",0,0,1,1,0,0,0,0,0,1,0,0,"Significant challenges","Some challenges",103635.610908776,128344.548786708,95844.4017788298,"(24,45]","3","1","(3000,3050]",2021,"January"
"258","Yes",100,"Agreed","Never","Never","40+ hours ","20-30 hours",1,0,0,1,0,0,1,0,0,0,"Some small changes","Unpredictable",0,0,1,1,0,0,1,0,0,1,0,0,"Good","Significant challenges",89833.0290134259,94474.1514849785,71723.4427880128,"(24,45]","2","0","(3050,3150]",2021,"January"
"259","Yes",100,"Agreed","Always","Didn't work","20-30 hours  ","Didn't work",1,1,0,0,1,NA,NA,NA,NA,NA,"Some small changes",NA,1,0,1,0,0,1,1,0,0,1,0,0,"Significant challenges","Good",76252.6354265204,3389.4489932462,51784.838895237,"(45,55]","3","2","(3150,3250]",2021,"January"
"260","Yes",100,"Agreed","Never","Didn't work","30-40 hours  ","Didn't work",1,0,0,0,0,NA,NA,NA,NA,NA,"Some small changes",NA,1,0,1,0,0,0,1,0,0,0,0,0,"Good","Some challenges",213364.764226366,43.2548856845789,203726.082535394,"(24,45]","3","1","(3150,3250]",2021,"January"
"261","Yes",100,"Agreed","About half the time","Sometimes","40+ hours ","Didn't work",1,0,0,0,0,0,0,1,0,0,"No changes","Some small changes",1,0,1,0,0,0,0,0,0,0,0,1,"Significant challenges","Significant challenges",2562.0751969227,140088.27138842,127888.470906995,"(45,55]","1","0","(3050,3150]",2021,"January"
"262","Yes",100,"Agreed","Never","Didn't work","Didn't work","Didn't work",0,0,0,0,1,NA,NA,NA,NA,NA,"Some small changes",NA,0,1,0,1,0,0,0,0,1,0,0,1,"Good","Good",104192.434401355,2354.16161833793,80543.879475366,"(24,45]","2","0","(3150,3250]",2021,"January"
"263","Yes",100,"Agreed","Never","Always","30-40 hours  ","Didn't work",0,0,1,0,1,0,0,0,1,1,"No changes","Unpredictable",0,0,1,0,0,0,0,1,0,1,1,0,"Good","Significant challenges",204573.956298355,196200.08840827,186555.49405395,"(45,55]","1","1","(3050,3150]",2021,"January"
"264","Yes",100,"Agreed","Never","Never","40+ hours ","20-30 hours",1,0,1,0,0,0,0,0,0,0,"No changes","No changes",0,0,0,0,0,0,1,0,0,1,0,1,"Some challenges","Some challenges",96312.6757598773,92072.3169645177,88411.6504769122,"(45,55]","2","0","(3000,3050]",2021,"January"
"265","Yes",100,"Agreed","Always","Always","40+ hours ","20-30 hours",0,1,0,1,0,1,0,0,1,0,"Some small changes","No changes",1,0,1,1,1,0,0,0,0,1,0,0,"Significant challenges","Significant challenges",130902.200724704,143503.974566359,121968.204103045,"(45,55]","2","0","(3050,3150]",2021,"January"
"266","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",1,0,0,1,0,NA,NA,NA,NA,NA,"No changes",NA,1,0,1,0,0,0,1,1,0,0,1,0,"Significant challenges","Significant challenges",-820.282955617679,1134.75158790476,53685.065706549,"(45,55]","1","0","(3150,3250]",2021,"January"
"267","Yes",100,"Agreed","Never","Never","40+ hours ","Didn't work",1,0,0,0,0,1,0,0,1,1,"No changes","Unpredictable",1,1,1,0,0,0,0,0,0,1,0,0,"Good","Significant challenges",-162.544897620936,124384.51380309,102467.76856968,"(55,80]","1","0","(3150,3250]",2021,"January"
"268","Yes",100,"Agreed","Never","Didn't work","10-20 hours  ","Didn't work",1,0,1,0,1,1,0,1,1,1,"No changes","Varying",0,0,1,1,0,0,0,0,1,1,0,1,"Good","Significant challenges",2085.30833312324,86804.4570166986,70772.2979040027,"(45,55]","3","2","(3000,3050]",2021,"January"
"269","Yes",100,"Agreed","Never","Most of the time","40+ hours ","40+ hours",1,0,0,0,0,1,0,0,0,1,"Varying","Unpredictable",0,0,1,0,0,0,1,0,0,1,0,1,"Good","Some challenges",140938.716309505,135422.106197424,115145.354664206,"(45,55]","2","2","(3050,3150]",2021,"January"
"270","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",0,0,0,0,0,NA,NA,NA,NA,NA,"No changes",NA,0,0,1,1,0,1,1,0,0,0,0,0,"Some challenges","Good",137738.805910594,1047.80605098638,116171.699370405,"(45,55]","2","More than 2","(3000,3050]",2021,"January"
"271","Yes",100,"Agreed","Most of the time","Sometimes","40+ hours ","30-40 hours",1,0,0,0,0,0,0,1,1,1,"No changes","Varying",0,1,0,0,0,0,1,0,0,1,1,0,"Good","Good",58073.9903756901,48873.4050531872,41029.0089704453,"(45,55]","2","1","(3050,3150]",2021,"January"
"272","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",1,0,1,0,0,NA,NA,NA,NA,NA,"No changes",NA,1,0,1,1,1,0,1,0,0,0,0,1,"Good","Some challenges",42.9748202925279,-2330.2706353784,61821.8267373089,"(55,80]","2","2","(3150,3250]",2021,"January"
"273","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",1,0,1,0,1,NA,NA,NA,NA,NA,"No changes",NA,0,0,1,1,0,0,0,0,0,0,0,0,"Good","Significant challenges",97954.2437437856,768.357352231756,86931.1817360493,"(24,45]","1","2","(3050,3150]",2021,"January"
"274","Yes",100,"Agreed","Never","Always","less than 10 hours  ","Didn't work",1,0,0,0,1,0,0,0,0,0,"Unpredictable","Varying",1,0,0,1,1,0,1,0,0,0,1,0,"Good","Good",67373.8553341977,66563.4828873476,40610.3663143255,"(24,45]","1","2","(3050,3150]",2021,"January"
"275","Yes",100,"Agreed","Never","Never","40+ hours ","Didn't work",1,0,0,0,0,1,0,1,0,0,"No changes","Varying",1,0,0,0,0,0,0,0,0,1,0,0,"Significant challenges","Significant challenges",62396.7997122291,73428.027905686,55300.2864739917,"(45,55]","1","0","(3050,3150]",2021,"January"
